name,a,e,i
Schwassmann-Wachmann,3.05239117034204,0.692288993783599,11.3809412138733
Schwassmann-Wachmann,3.08503544059736,0.695575899386973,11.4054219318703
Schwassmann-Wachmann,3.11832472400051,0.698647244447971,11.4193580973025
Schwassmann-Wachmann,3.06994234287616,0.694088213263508,11.3947263030202
Schwassmann-Wachmann,3.3340747694428,0.69335823324,11.0481813428788
Schwassmann-Wachmann,3.26075831524011,0.711932414090286,11.5122995825914
Schwassmann-Wachmann,3.02441289019931,0.689397458779432,11.3598206486042
Schwassmann-Wachmann,2.97607817120721,0.69348697056495,11.651823761982
Schwassmann-Wachmann,3.10529750382754,0.697573249761406,11.4183179944517
Schwassmann-Wachmann,3.07645099021487,0.694751288807723,11.3993873710683
Schwassmann-Wachmann,3.34821195686902,0.719502303654523,11.5618412574595
