    PK06R010  2020 01  4.7475  1.662131  0.705054  249.2978  218.8274  160.0724  20180124  16.0  4.0  P/2006 R1 (Siding Spring)                                MPC 73461
    PK06S010  2019 10 25.1248  1.412616  0.600771  133.7941  207.9089   12.3447  20180124  17.5  4.0  P/2006 S1 (Christensen)                                  MPC 69905
    CK06S030  2012 04 12.7570  5.142795  0.999726  140.0536   38.3370  166.0215  20180124   2.0  4.0  C/2006 S3 (LONEOS)                                       MPC105235
    PK06S040  2022 01 17.9939  3.099603  0.506452  305.5056   36.1059   39.5938  20180124  11.0  4.0  P/2006 S4 (Christensen)                                  MPC 75707
    CK06S050  2007 12  5.3494  2.654447  0.972736  182.3118  281.4963   10.1138  20180124   8.0  4.0  C/2006 S5 (Hill)                                         MPC 60465
    CK06U060  2008 05 31.8175  2.514655  0.998865  276.6878  180.0289   84.7435  20180124   8.0  4.0  C/2006 U6 (Spacewatch)                                   MPC 66204
    CK06V010  2007 11 28.0896  2.648512  0.983200  253.0416  335.5094   31.3993  20180124   8.0  4.0  C/2006 V1 (Catalina)                                     MPC 62580
    PK06W010  2020 04  4.2626  1.708103  0.706869  231.7838  152.6323   18.5130  20180124  12.0  4.0  P/2006 W1 (Gibbs)                                        MPC105235
    CK06W030  2009 07  5.8558  3.106315  0.999196  133.1894  113.4451  127.0765  20180124   5.0  4.0  C/2006 W3 (Christensen)                                  MPC 82313
    PK07A020  2022 11 29.3857  2.789197  0.558047  186.9110  300.9489   26.5081  20180124  13.5  4.0  P/2007 A2 (Christensen)                                  MPC 75707
    PK07B010  2021 01 25.6399  2.433782  0.581064   46.8920   77.6744   12.3777  20180124  13.5  4.0  P/2007 B1 (Christensen)                                  MPC 59319
    CK07B020  2008 08 24.3545  2.967713  0.995483  206.1535   14.6984   27.5921  20180124   6.0  4.0  C/2007 B2 (Skiff)                                        MPC 66700
    PK07C020  2026 04 13.3128  3.763037  0.464039  179.4951  275.8262    8.7166  20180124  10.0  4.0  P/2007 C2 (Catalina)                                     MPC 75707
    CK07D010  2007 06 16.6278  8.828329  0.996556  340.3153  170.9901   41.4913  20180124   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC 84315
